17:00:59 INFO  application.MyListener - Element By.xpath: //div[@class='pac-item'] found.
17:01:01 INFO  application.MyListener - Start search element By.id: make.
17:01:01 INFO  application.MyListener - Element By.id: make found.
17:01:01 INFO  application.MyListener - Start search element By.id: model.
17:01:01 INFO  application.MyListener - Element By.id: model found.
17:01:01 INFO  application.MyListener - Start search element By.id: year.
17:01:01 INFO  application.MyListener - Element By.id: year found.
17:01:01 INFO  application.MyListener - Start search element By.id: engine.
17:01:01 INFO  application.MyListener - Element By.id: engine found.
17:01:01 INFO  application.MyListener - Start search element By.id: fuel.
17:01:01 INFO  application.MyListener - Element By.id: fuel found.
17:01:01 INFO  application.MyListener - Start search element By.xpath: .//option[@value = "Electric"].
17:01:01 INFO  application.MyListener - Element By.xpath: .//option[@value = "Electric"] found.
17:01:01 INFO  application.MyListener - Start search element By.id: gear.
17:01:01 INFO  application.MyListener - Element By.id: gear found.
17:01:01 INFO  application.MyListener - Start search element By.xpath: .//option[@value = "MT"].
17:01:01 INFO  application.MyListener - Element By.xpath: .//option[@value = "MT"] found.
17:01:01 INFO  application.MyListener - Start search element By.id: wheelsDrive.
17:01:01 INFO  application.MyListener - Element By.id: wheelsDrive found.
17:01:01 INFO  application.MyListener - Start search element By.xpath: .//option[@value = "AWD"].
17:01:01 INFO  application.MyListener - Element By.xpath: .//option[@value = "AWD"] found.
17:01:01 INFO  application.MyListener - Start search element By.id: doors.
17:01:01 INFO  application.MyListener - Element By.id: doors found.
17:01:01 INFO  application.MyListener - Start search element By.id: seats.
17:01:01 INFO  application.MyListener - Element By.id: seats found.
17:01:01 INFO  application.MyListener - Start search element By.id: class.
17:01:01 INFO  application.MyListener - Element By.id: class found.
17:01:01 INFO  application.MyListener - Start search element By.id: fuelConsumption.
17:01:01 INFO  application.MyListener - Element By.id: fuelConsumption found.
17:01:02 INFO  application.MyListener - Start search element By.id: serialNumber.
17:01:02 INFO  application.MyListener - Element By.id: serialNumber found.
17:01:02 INFO  application.MyListener - Start search element By.id: price.
17:01:02 INFO  application.MyListener - Element By.id: price found.
17:01:02 INFO  application.MyListener - Start search element By.id: distance.
17:01:02 INFO  application.MyListener - Element By.id: distance found.
17:01:02 INFO  application.MyListener - Start search element By.cssSelector: .feature-input.
17:01:02 INFO  application.MyListener - Element By.cssSelector: .feature-input found.
17:01:02 INFO  application.MyListener - Start search element By.id: about.
17:01:02 INFO  application.MyListener - Element By.id: about found.
17:01:02 INFO  application.MyListener - Start search element By.id: photos.
17:01:02 INFO  application.MyListener - Element By.id: photos found.
17:01:02 INFO  application.MyListener - Start search element By.xpath: //*[.='Submit'].
17:01:02 INFO  application.MyListener - Element By.xpath: //*[.='Submit'] found.
17:01:03 INFO  application.MyListener - Start search element By.xpath: //*[.='Submit'].
17:01:03 INFO  application.MyListener - Element By.xpath: //*[.='Submit'] found.
17:01:03 INFO  application.MyListener - Start search element By.xpath: //*[.='Submit'].
17:01:03 INFO  application.MyListener - Element By.xpath: //*[.='Submit'] found.
17:01:04 INFO  application.MyListener - Start search element By.xpath: //*[.='Submit'].
17:01:04 INFO  application.MyListener - Element By.xpath: //*[.='Submit'] found.
17:01:04 INFO  application.MyListener - Start search element By.xpath: //*[@type='submit'].
17:01:04 INFO  application.MyListener - Element By.xpath: //*[@type='submit'] found.
17:01:04 INFO  application.MyListener - Start search element By.xpath: //*[contains(@id, 'mat-dialog')].
17:01:04 INFO  application.MyListener - Element By.xpath: //*[contains(@id, 'mat-dialog')] found.
17:01:05 INFO  application.MyListener - Start search element By.xpath: //h2[contains(., 'successful')].
17:01:15 INFO  application.MyListener - Element By.xpath: //h2[contains(., 'successful')] found.
17:01:15 INFO  application.MyListener - Start search element By.xpath: //button[text()='Search cars'].
17:01:25 ERROR application.MyListener - Screenshot src/test/screenshots/screen-85.png
17:01:25 ERROR application.MyListener - no such element: Unable to locate element: {"method":"xpath","selector":"//button[text()='Search cars']"}
  (Session info: chrome=91.0.4472.114)
For documentation on this error, please visit: https://www.seleniumhq.org/exceptions/no_such_element.html
Build info: version: '3.141.59', revision: 'e82be7d358', time: '2018-11-14T08:17:03'
System info: host: 'fedora', ip: '127.0.0.1', os.name: 'Linux', os.arch: 'amd64', os.version: '5.12.15-300.fc34.x86_64', java.version: '11.0.11'
Driver info: org.openqa.selenium.chrome.ChromeDriver
Capabilities {acceptInsecureCerts: false, browserName: chrome, browserVersion: 91.0.4472.114, chrome: {chromedriverVersion: 91.0.4472.114 (4bb19460e8d8..., userDataDir: /tmp/.org.chromium.Chromium...}, goog:chromeOptions: {debuggerAddress: localhost:38883}, javascriptEnabled: true, networkConnectionEnabled: false, pageLoadStrategy: normal, platform: LINUX, platformName: LINUX, proxy: Proxy(), setWindowRect: true, strictFileInteractability: false, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unhandledPromptBehavior: dismiss and notify, webauthn:extension:largeBlob: true, webauthn:virtualAuthenticators: true}
Session ID: c79998ab1ca96a3405ca695172d7de13
*** Element info: {Using=xpath, value=//button[text()='Search cars']}
