17:14:38 INFO  application.ApplicationManager - Star browser CHROME
17:14:39 INFO  application.ApplicationManager - Navigate to: https://ilcarro.xyz/search
17:14:39 INFO  tests.TestBase - Start method createNewCarCSV
17:14:39 INFO  application.MyListener - Start search element By.xpath: //a[.=' Log in '].
17:14:39 INFO  application.MyListener - Element By.xpath: //a[.=' Log in '] found.
17:14:39 INFO  application.MyListener - Start search element By.xpath: //a[.=' Log in '].
17:14:39 INFO  application.MyListener - Element By.xpath: //a[.=' Log in '] found.
17:14:39 INFO  application.MyListener - Start search element By.id: email.
17:14:39 INFO  application.MyListener - Element By.id: email found.
17:14:39 INFO  application.MyListener - Start search element By.id: password.
17:14:39 INFO  application.MyListener - Element By.id: password found.
17:14:39 INFO  application.MyListener - Start search element By.xpath: //*[@type='submit'].
17:14:39 INFO  application.MyListener - Element By.xpath: //*[@type='submit'] found.
17:14:42 INFO  application.MyListener - Start search element By.xpath: //div[@class='dialog-container']//h2.
17:14:42 INFO  application.MyListener - Element By.xpath: //div[@class='dialog-container']//h2 found.
17:14:42 INFO  application.MyListener - Start search element By.xpath: //button[.='Ok'].
17:14:42 INFO  application.MyListener - Element By.xpath: //button[.='Ok'] found.
17:14:43 INFO  application.MyListener - Start search element By.id: 1.
17:14:43 INFO  application.MyListener - Element By.id: 1 found.
17:14:43 INFO  application.MyListener - Start search element By.xpath: //h1[contains(.,' Let the car work ')].
17:14:43 INFO  application.MyListener - Element By.xpath: //h1[contains(.,' Let the car work ')] found.
17:14:43 INFO  application.MyListener - Start search element By.id: pickUpPlace.
17:14:43 INFO  application.MyListener - Element By.id: pickUpPlace found.
17:14:45 INFO  application.MyListener - Start search element By.xpath: //div[@class='pac-item'].
17:14:45 INFO  application.MyListener - Element By.xpath: //div[@class='pac-item'] found.
17:14:47 INFO  application.MyListener - Start search element By.id: make.
17:14:47 INFO  application.MyListener - Element By.id: make found.
17:14:47 INFO  application.MyListener - Start search element By.id: model.
17:14:47 INFO  application.MyListener - Element By.id: model found.
17:14:47 INFO  application.MyListener - Start search element By.id: year.
17:14:47 INFO  application.MyListener - Element By.id: year found.
17:14:47 INFO  application.MyListener - Start search element By.id: engine.
17:14:47 INFO  application.MyListener - Element By.id: engine found.
17:14:47 INFO  application.MyListener - Start search element By.id: fuel.
17:14:47 INFO  application.MyListener - Element By.id: fuel found.
17:14:47 INFO  application.MyListener - Start search element By.xpath: .//option[@value = "Petrol"].
17:14:47 INFO  application.MyListener - Element By.xpath: .//option[@value = "Petrol"] found.
17:14:47 INFO  application.MyListener - Start search element By.id: gear.
17:14:47 INFO  application.MyListener - Element By.id: gear found.
17:14:47 INFO  application.MyListener - Start search element By.xpath: .//option[@value = "MT"].
17:14:47 INFO  application.MyListener - Element By.xpath: .//option[@value = "MT"] found.
17:14:47 INFO  application.MyListener - Start search element By.id: wheelsDrive.
17:14:47 INFO  application.MyListener - Element By.id: wheelsDrive found.
